date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2018-05-01,8674.2500,2144.7500,411.7500,1171.5000,1060.7500,475.7500,895.5000,611.2500,0
2018-05-02,8380.2500,2136.0000,422.0000,1170.0000,870.5000,439.2500,745.7500,648.7500,0
2018-05-03,8124.7500,2110.7500,344.7500,1170.0000,832.5000,406.0000,713.7500,674.2500,0
2018-05-04,9883.0000,2320.0000,341.2500,1194.7500,858.5000,459.0000,2077.7500,635.0000,0
2018-05-05,9361.7500,2054.0000,324.0000,1157.2500,758.7500,504.0000,1981.5000,652.7500,0
2018-05-06,8162.2500,1895.5000,341.2500,1104.7500,683.0000,404.0000,1330.2500,582.7500,0
2018-05-07,7904.5000,1718.2500,324.5000,1128.5000,469.0000,364.0000,1428.0000,694.7500,0
2018-05-08,10264.2500,2654.5000,388.5000,2220.5000,580.2500,347.2500,1601.5000,679.5000,0
2018-05-09,7171.5000,1199.2500,384.2500,1218.2500,439.7500,385.7500,1154.0000,560.5000,0
2018-05-10,6595.7500,1093.2500,321.0000,961.0000,438.5000,341.5000,1100.2500,620.2500,0
2018-05-11,6480.2500,1169.7500,216.0000,952.5000,427.0000,348.5000,1101.5000,612.2500,0
2018-05-12,7497.0000,1313.7500,428.7500,1104.7500,386.5000,518.2500,1112.0000,847.2500,0
2018-05-13,9843.7500,1262.0000,897.5000,1514.7500,740.5000,1519.7500,1127.7500,857.7500,0
2018-05-14,8585.0000,1247.2500,884.2500,1067.0000,423.2500,1042.5000,1192.0000,712.7500,0
2018-05-15,8947.2500,1273.2500,784.0000,1154.5000,578.2500,1078.2500,1117.5000,844.2500,0
2018-05-16,9394.7500,1352.0000,1069.7500,1078.5000,513.7500,975.7500,1150.2500,890.7500,0
2018-05-17,11298.2500,1212.2500,2454.7500,1186.2500,716.2500,1157.5000,1072.0000,1010.5000,0
2018-05-18,10369.2500,1194.7500,2074.2500,997.0000,737.5000,981.0000,823.0000,1208.0000,0
2018-05-19,9881.7500,1049.7500,1712.7500,926.2500,961.0000,1087.0000,780.5000,1035.5000,0
2018-05-20,9786.2500,1278.0000,1572.5000,1019.7500,680.5000,1077.5000,784.2500,981.7500,0
2018-05-21,9763.0000,1108.2500,1441.7500,977.5000,749.7500,1037.7500,875.7500,1120.2500,0
2018-05-22,10103.0000,1020.2500,1424.7500,1107.7500,725.2500,1030.7500,873.5000,1455.0000,0
2018-05-23,11098.0000,1084.0000,1735.5000,1281.7500,715.2500,1189.7500,982.7500,1472.0000,0
2018-05-24,11173.7500,1160.7500,1701.0000,1339.5000,658.0000,1187.5000,970.0000,1455.2500,0
2018-05-25,10906.2500,1069.7500,1754.5000,1175.2500,640.7500,1226.2500,998.0000,1358.5000,0
2018-05-26,10858.7500,1067.0000,1839.0000,1120.5000,606.7500,1078.2500,953.5000,1529.7500,0
2018-05-27,11601.0000,1342.0000,1757.5000,1564.2500,668.2500,1084.5000,1053.5000,1270.2500,0
2018-05-28,10075.5000,1484.0000,1331.7500,1378.7500,575.2500,853.7500,939.2500,778.2500,0
2018-05-29,11085.0000,1463.2500,2010.7500,1150.2500,718.0000,866.2500,956.5000,968.2500,0
2018-05-30,10837.2500,1244.0000,2163.7500,1126.0000,709.0000,888.7500,885.5000,1035.2500,0
2018-05-31,12116.0000,1759.7500,2038.5000,1616.7500,532.7500,921.7500,1152.5000,1119.5000,0
2018-06-01,13549.5000,1876.0000,2321.0000,1875.0000,562.5000,1185.0000,1306.0000,1249.2500,0
2018-06-02,15005.0000,2284.7500,2412.7500,1643.2500,530.0000,1139.5000,2425.7500,1378.7500,0
2018-06-03,14726.2500,2075.0000,2391.7500,2038.2500,522.2500,955.7500,2140.2500,1351.7500,0
2018-06-04,15483.0000,2541.2500,2241.5000,1935.2500,491.0000,763.7500,2139.5000,2126.5000,0
2018-06-05,17833.0000,2590.0000,2381.2500,2005.0000,577.2500,802.7500,2135.7500,3615.0000,0
2018-06-06,22450.5000,2436.7500,4535.0000,2399.5000,750.5000,1470.7500,2158.5000,4706.2500,0
2018-06-07,25551.7500,2647.5000,4526.7500,2896.5000,692.0000,2368.5000,2281.0000,6014.2500,0
2018-06-08,26053.0000,3268.0000,4522.0000,2812.0000,729.7500,2305.0000,2527.2500,5506.7500,0
2018-06-09,22130.0000,3110.2500,2872.0000,2197.5000,806.5000,1042.7500,2568.7500,5047.0000,0
2018-06-10,29474.7500,2959.0000,2601.5000,2049.0000,953.2500,1060.0000,6699.5000,8468.7500,0
2018-06-11,30969.7500,3268.0000,2278.2500,2617.7500,1241.0000,1566.5000,6699.0000,8253.2500,0
2018-06-12,33439.2500,3453.2500,2893.0000,2789.0000,1798.7500,1675.5000,6783.5000,8726.5000,0
2018-06-13,33413.2500,3829.5000,2928.2500,2731.2500,1968.5000,3051.5000,5484.5000,7693.0000,0
2018-06-14,33985.5000,3742.0000,2641.5000,3064.2500,1980.0000,3906.0000,5486.5000,7391.7500,0
2018-06-15,34038.5000,4097.2500,2743.0000,3136.0000,2011.0000,4253.2500,5730.2500,6074.2500,0
2018-06-16,33298.7500,4197.2500,3195.5000,2969.7500,1744.5000,4496.0000,5055.2500,5569.5000,0
2018-06-17,33354.0000,3948.2500,4330.2500,2779.5000,1754.7500,4496.0000,3689.2500,6346.5000,0
2018-06-18,33354.0000,3948.2500,4330.2500,2779.5000,1754.7500,4496.0000,3689.2500,6346.5000,1
2018-06-19,38940.5000,5176.7500,4222.2500,3551.0000,2359.7500,4453.5000,3300.0000,9518.5000,0
2018-06-20,41426.0000,4703.7500,6340.2500,3216.5000,2611.2500,4887.0000,3658.0000,9202.0000,0
2018-06-21,39391.5000,4817.7500,5803.0000,3434.7500,2550.2500,4092.2500,3657.0000,7825.7500,0
2018-06-22,40734.7500,4528.0000,6091.0000,3579.5000,2523.7500,4318.0000,3354.2500,9463.0000,0
2018-06-23,42897.5000,5141.0000,6321.2500,4039.5000,2624.2500,5051.5000,3339.5000,9329.5000,0
2018-06-24,40505.7500,5171.5000,5606.0000,4120.5000,2737.7500,5183.0000,3341.0000,7214.0000,0
2018-06-25,41290.7500,5162.0000,5605.2500,4319.5000,3694.7500,5310.0000,2949.7500,6845.7500,0
2018-06-26,39483.7500,4703.5000,4485.0000,4466.2500,3735.5000,5372.7500,2840.0000,6608.0000,0
2018-06-27,44946.7500,5630.2500,4680.2500,5326.5000,4073.0000,6620.5000,3508.0000,7352.7500,0
2018-06-28,51962.0000,6893.7500,6763.2500,5398.2500,5343.2500,8276.7500,3533.2500,7554.2500,0
2018-06-29,55356.7500,6742.0000,6926.7500,5448.0000,6918.5000,9324.2500,3369.5000,7959.2500,0
2018-06-30,56417.0000,6221.2500,5664.7500,6659.2500,7639.7500,9245.2500,3374.5000,8841.2500,0
2018-07-01,58857.0000,6589.0000,6045.5000,7528.0000,7957.5000,9476.5000,3377.0000,8872.0000,0
2018-07-02,56607.5000,6648.2500,5794.7500,7263.0000,8016.7500,7931.5000,3515.5000,8189.7500,0
2018-07-03,68054.5000,6510.0000,9595.7500,7037.2500,9388.5000,9277.5000,3356.5000,13655.5000,0
2018-07-04,68870.5000,5879.2500,9228.5000,7497.2500,10100.7500,9793.0000,3352.7500,13786.0000,0
2018-07-05,67278.7500,7143.5000,7707.5000,6855.7500,10010.0000,9808.5000,3450.5000,13309.7500,0
2018-07-06,80062.2500,7445.2500,10902.2500,6742.0000,11449.7500,8214.5000,3958.5000,22006.2500,0
