date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2019-05-01,0.7805,0.7728,0.7872,0.7929,0.7840,0.7798,0.7639,0.7750,0
2019-05-02,0.7779,0.7719,0.7917,0.7906,0.7629,0.7851,0.7639,0.7716,0
2019-05-03,0.7779,0.7767,0.7864,0.7917,0.7746,0.7811,0.7622,0.7642,0
2019-05-04,0.7841,0.7792,0.7766,0.7951,0.8064,0.7998,0.7572,0.7611,0
2019-05-05,0.7856,0.7849,0.7794,0.7978,0.8072,0.7958,0.7651,0.7582,0
2019-05-06,0.7842,0.7797,0.7825,0.7966,0.8031,0.7959,0.7591,0.7595,0
2019-05-07,0.7738,0.7680,0.7783,0.7955,0.7954,0.7982,0.7322,0.7198,0
2019-05-08,0.7716,0.7553,0.7773,0.7897,0.7925,0.7877,0.7286,0.7432,0
2019-05-09,0.7746,0.7614,0.7830,0.7891,0.7899,0.7940,0.7382,0.7453,0
2019-05-10,0.7675,0.7549,0.7720,0.7834,0.7823,0.7893,0.7374,0.7322,0
2019-05-11,0.7775,0.7658,0.7833,0.7892,0.7866,0.7891,0.7591,0.7582,0
2019-05-12,0.7799,0.7657,0.7815,0.7912,0.7904,0.7875,0.7726,0.7625,0
2019-05-13,0.7780,0.7734,0.7654,0.7925,0.7923,0.7869,0.7735,0.7546,0
2019-05-14,0.7776,0.7751,0.7650,0.7877,0.7937,0.7854,0.7740,0.7590,0
2019-05-15,0.7780,0.7741,0.7666,0.7865,0.8012,0.7854,0.7734,0.7557,0
2019-05-16,0.7819,0.7747,0.7789,0.7899,0.8003,0.7862,0.7725,0.7671,0
2019-05-17,0.7853,0.7812,0.7910,0.7909,0.8004,0.7915,0.7758,0.7650,0
2019-05-18,0.7832,0.7808,0.7913,0.7897,0.8004,0.7932,0.7756,0.7489,0
2019-05-19,0.7835,0.7801,0.7907,0.7886,0.7875,0.7938,0.7771,0.7666,0
2019-05-20,0.7800,0.7761,0.7912,0.7785,0.7880,0.7931,0.7807,0.7584,0
2019-05-21,0.7739,0.7742,0.7677,0.7830,0.7785,0.7906,0.7812,0.7423,0
2019-05-22,0.7722,0.7777,0.7825,0.7713,0.7733,0.7745,0.7815,0.7575,0
2019-05-23,0.7731,0.7758,0.7864,0.7699,0.7782,0.7815,0.7794,0.7522,0
2019-05-24,0.7715,0.7775,0.7793,0.7730,0.7803,0.7754,0.7764,0.7484,0
2019-05-25,0.7615,0.7648,0.7627,0.7677,0.7748,0.7719,0.7606,0.7306,0
2019-05-26,0.7631,0.7573,0.7650,0.7729,0.7773,0.7750,0.7516,0.7370,0
2019-05-27,0.7616,0.7591,0.7645,0.7745,0.7738,0.7741,0.7433,0.7323,0
2019-05-28,0.7660,0.7621,0.7679,0.7775,0.7864,0.7813,0.7530,0.7261,0
2019-05-29,0.7615,0.7647,0.7502,0.7750,0.7835,0.7783,0.7532,0.7188,0
2019-05-30,0.7527,0.7366,0.7481,0.7791,0.7895,0.7687,0.7227,0.6955,0
2019-05-31,0.7618,0.7346,0.7673,0.7818,0.7975,0.7698,0.7261,0.7296,0
2019-06-01,0.7678,0.7538,0.7660,0.7887,0.7993,0.7754,0.7348,0.7348,0
2019-06-02,0.7706,0.7686,0.7565,0.7854,0.8005,0.7826,0.7542,0.7361,0
2019-06-03,0.7668,0.7566,0.7602,0.7719,0.7963,0.7844,0.7530,0.7408,0
2019-06-04,0.7677,0.7465,0.7665,0.7743,0.7926,0.7861,0.7464,0.7525,0
2019-06-05,0.7700,0.7603,0.7649,0.7806,0.7953,0.7939,0.7406,0.7418,0
2019-06-06,0.7715,0.7647,0.7657,0.7832,0.7945,0.7962,0.7472,0.7371,0
2019-06-07,0.7655,0.7553,0.7514,0.7815,0.7911,0.7922,0.7308,0.7369,0
2019-06-08,0.7648,0.7565,0.7422,0.7814,0.7960,0.7918,0.7336,0.7337,0
2019-06-09,0.7611,0.7504,0.7467,0.7724,0.7919,0.7880,0.7452,0.7238,0
2019-06-10,0.7434,0.7261,0.7238,0.7704,0.7908,0.7738,0.7363,0.6588,0
2019-06-11,0.7524,0.7406,0.7491,0.7689,0.7870,0.7788,0.7387,0.6905,0
2019-06-12,0.7387,0.7000,0.7315,0.7569,0.7685,0.7537,0.7390,0.7079,0
2019-06-13,0.7295,0.6974,0.7357,0.7385,0.7383,0.7531,0.7310,0.7109,0
2019-06-14,0.7285,0.6757,0.7477,0.7239,0.7446,0.7550,0.7373,0.7203,0
2019-06-15,0.7277,0.7076,0.7513,0.7381,0.7447,0.7581,0.6992,0.6825,0
2019-06-16,0.7333,0.7278,0.7474,0.7430,0.7501,0.7732,0.7136,0.6704,0
2019-06-17,0.7359,0.7310,0.7592,0.7502,0.7553,0.7782,0.7030,0.6582,0
2019-06-18,0.7438,0.7373,0.7576,0.7667,0.7565,0.7768,0.7124,0.6806,0
2019-06-19,0.7341,0.7376,0.7552,0.7676,0.7563,0.7771,0.6722,0.6345,0
2019-06-20,0.7464,0.7343,0.7626,0.7632,0.7572,0.7832,0.7296,0.6833,0
2019-06-21,0.7463,0.7344,0.7611,0.7602,0.7720,0.7837,0.7195,0.6802,0
2019-06-22,0.7473,0.7369,0.7614,0.7607,0.7749,0.7862,0.7176,0.6797,0
2019-06-23,0.7473,0.7109,0.7669,0.7621,0.7750,0.7857,0.7131,0.6959,0
2019-06-24,0.7506,0.7227,0.7704,0.7648,0.7748,0.7892,0.7152,0.6979,0
2019-06-25,0.7558,0.7416,0.7700,0.7635,0.7760,0.7901,0.7432,0.7034,0
2019-06-26,0.7549,0.7448,0.7656,0.7641,0.7757,0.7935,0.7449,0.6917,0
2019-06-27,0.7523,0.7456,0.7657,0.7650,0.7744,0.7936,0.7150,0.6924,0
2019-06-28,0.7511,0.7483,0.7548,0.7664,0.7663,0.7795,0.7377,0.7004,0
2019-06-29,0.7479,0.7495,0.7681,0.7633,0.7497,0.7638,0.7350,0.7055,0
2019-06-30,0.7509,0.7508,0.7658,0.7631,0.7450,0.7523,0.7442,0.7435,0
2019-07-01,0.7485,0.7567,0.7582,0.7615,0.7404,0.7448,0.7410,0.7474,0
2019-07-02,0.7487,0.7528,0.7606,0.7592,0.7367,0.7511,0.7422,0.7493,0
2019-07-03,0.7502,0.7540,0.7568,0.7658,0.7386,0.7492,0.7467,0.7495,0
2019-07-04,0.7483,0.7516,0.7630,0.7655,0.7380,0.7547,0.7450,0.7258,0
2019-07-05,0.7441,0.7515,0.7484,0.7626,0.7374,0.7456,0.7483,0.7232,0
2019-07-06,0.7339,0.7509,0.7448,0.7535,0.7429,0.7471,0.7199,0.6775,0
2019-07-07,0.7204,0.7342,0.7250,0.7514,0.7262,0.7243,0.7168,0.6594,0
2019-07-08,0.6759,0.7344,0.6253,0.7284,0.7162,0.7084,0.6381,0.5478,0
2019-07-09,0.7039,0.7337,0.7180,0.7307,0.7149,0.7173,0.6504,0.6460,0
2019-07-10,0.7086,0.7337,0.7253,0.7353,0.7205,0.7340,0.6554,0.6368,0
2019-07-11,0.7109,0.7312,0.7141,0.7379,0.7391,0.7406,0.6676,0.6268,0
2019-07-12,0.7093,0.7094,0.7342,0.7417,0.7256,0.7257,0.6499,0.6488,0
2019-07-13,0.7072,0.7091,0.7192,0.7285,0.6976,0.7063,0.7145,0.6809,0
2019-07-14,0.6935,0.7168,0.6802,0.7085,0.6716,0.6955,0.7301,0.6761,0
2019-07-15,0.6913,0.7230,0.7128,0.7004,0.6694,0.6994,0.7274,0.6340,0
2019-07-16,0.7010,0.7241,0.7185,0.7109,0.6846,0.6972,0.7188,0.6752,0
2019-07-17,0.7077,0.7329,0.7213,0.7112,0.7092,0.7054,0.7228,0.6772,0
2019-07-18,0.7092,0.7265,0.7242,0.7163,0.7079,0.7086,0.7246,0.6780,0
2019-07-19,0.7081,0.7172,0.7249,0.7187,0.7135,0.7081,0.7307,0.6621,0
2019-07-20,0.7013,0.7099,0.7115,0.7310,0.7165,0.7086,0.6791,0.6404,0
2019-07-21,0.7077,0.7124,0.7038,0.7383,0.7180,0.7090,0.6970,0.6681,0
2019-07-22,0.6998,0.7133,0.6989,0.7380,0.7189,0.7284,0.6815,0.5979,0
2019-07-23,0.7261,0.7160,0.7487,0.7460,0.7292,0.7537,0.7107,0.6698,0
2019-07-24,0.7229,0.7257,0.7439,0.7522,0.7331,0.7447,0.6731,0.6645,0
2019-07-25,0.7250,0.7288,0.7404,0.7489,0.7429,0.7352,0.7023,0.6684,0
2019-07-26,0.7263,0.7283,0.7304,0.7505,0.7443,0.7430,0.7080,0.6716,0
2019-07-27,0.7306,0.7364,0.7383,0.7528,0.7394,0.7425,0.7295,0.6755,0
2019-07-28,0.7296,0.7366,0.7379,0.7540,0.7287,0.7283,0.7287,0.6957,0
2019-07-29,0.7228,0.7365,0.7328,0.7424,0.7217,0.7274,0.7303,0.6782,0
2019-07-30,0.7138,0.7252,0.7291,0.7224,0.7222,0.7091,0.7291,0.6807,0
2019-07-31,0.6898,0.6841,0.6794,0.7060,0.7163,0.6734,0.7250,0.6628,0
2019-08-01,0.6856,0.6897,0.6934,0.6982,0.7133,0.6800,0.6797,0.6517,0
2019-08-02,0.6936,0.7004,0.7098,0.6984,0.7050,0.6986,0.7061,0.6559,0
2019-08-03,0.6973,0.7032,0.7079,0.7049,0.7099,0.7060,0.6938,0.6672,0
2019-08-04,0.7012,0.7095,0.7226,0.7193,0.7232,0.7095,0.6862,0.6370,0
2019-08-05,0.7071,0.7160,0.7312,0.7251,0.7174,0.7135,0.6865,0.6587,0
2019-08-06,0.7154,0.7190,0.7326,0.7337,0.7230,0.7312,0.7010,0.6658,0
2019-08-07,0.7202,0.7276,0.7329,0.7371,0.7244,0.7348,0.7253,0.6662,0
2019-08-08,0.7203,0.7133,0.7515,0.7396,0.7249,0.7360,0.7100,0.6629,0
2019-08-09,0.7236,0.7093,0.7431,0.7426,0.7376,0.7306,0.7120,0.6868,0
2019-08-10,0.7217,0.7160,0.7176,0.7490,0.7439,0.7366,0.7025,0.6742,0
2019-08-11,0.7277,0.7112,0.7404,0.7542,0.7419,0.7247,0.7135,0.7008,0
2019-08-12,0.7279,0.7254,0.7452,0.7558,0.7371,0.7213,0.7049,0.6984,0
2019-08-13,0.7347,0.7327,0.7437,0.7604,0.7440,0.7288,0.7326,0.7014,0
2019-08-14,0.7396,0.7434,0.7450,0.7629,0.7457,0.7359,0.7466,0.7048,0
2019-08-15,0.7383,0.7482,0.7540,0.7634,0.7430,0.7363,0.7201,0.7021,0
2019-08-16,0.7244,0.7351,0.7523,0.7604,0.7341,0.7205,0.6803,0.6692,0
2019-08-17,0.7361,0.7383,0.7559,0.7601,0.7342,0.7264,0.7490,0.6972,0
2019-08-18,0.7352,0.7345,0.7515,0.7614,0.7292,0.7312,0.7489,0.6956,0
2019-08-19,0.7379,0.7257,0.7413,0.7662,0.7314,0.7362,0.7373,0.7259,0
2019-08-20,0.7385,0.7246,0.7526,0.7742,0.7487,0.7373,0.7064,0.7062,0
2019-08-21,0.7464,0.7448,0.7538,0.7734,0.7558,0.7480,0.7359,0.7092,0
2019-08-22,0.7517,0.7485,0.7592,0.7752,0.7600,0.7723,0.7319,0.7063,0
2019-08-23,0.7462,0.7364,0.7491,0.7732,0.7857,0.7697,0.6805,0.6992,0
2019-08-24,0.7543,0.7371,0.7753,0.7754,0.7856,0.7705,0.6842,0.7268,0
2019-08-25,0.7583,0.7634,0.7707,0.7749,0.7880,0.7714,0.6956,0.7307,0
2019-08-26,0.7645,0.7671,0.7666,0.7778,0.7896,0.7697,0.7553,0.7321,0
2019-08-27,0.7687,0.7728,0.7790,0.7805,0.7895,0.7690,0.7580,0.7403,0
2019-08-28,0.7713,0.7717,0.7772,0.7905,0.7917,0.7695,0.7547,0.7439,0
2019-08-29,0.7732,0.7675,0.7798,0.7907,0.7968,0.7703,0.7627,0.7475,0
2019-08-30,0.7741,0.7678,0.7723,0.7938,0.7941,0.7762,0.7632,0.7516,0
2019-08-31,0.7630,0.7657,0.7684,0.7915,0.7815,0.7750,0.7314,0.7133,0
2019-09-01,0.7632,0.7547,0.7674,0.7910,0.7823,0.7694,0.7499,0.7186,0
2019-09-02,0.7644,0.7689,0.7664,0.7900,0.7759,0.7693,0.7530,0.7239,0
2019-09-03,0.7646,0.7743,0.7828,0.7885,0.7752,0.7693,0.7539,0.7071,0
2019-09-04,0.7660,0.7742,0.7826,0.7952,0.7727,0.7672,0.7573,0.7084,0
2019-09-05,0.7759,0.7827,0.7895,0.7953,0.7777,0.7804,0.7729,0.7360,0
2019-09-06,0.7752,0.7803,0.7951,0.7914,0.7787,0.7789,0.7726,0.7364,0
2019-09-07,0.7761,0.7803,0.7950,0.7924,0.7877,0.7794,0.7712,0.7318,0
2019-09-08,0.7737,0.7817,0.7961,0.7935,0.7880,0.7788,0.7479,0.7266,0
2019-09-09,0.7838,0.7816,0.7987,0.7964,0.7946,0.7890,0.7495,0.7750,0
2019-09-10,0.7871,0.7915,0.7989,0.7967,0.7962,0.7888,0.7780,0.7693,0
2019-09-11,0.7813,0.7854,0.7967,0.7962,0.8034,0.7923,0.7565,0.7349,0
2019-09-12,0.7811,0.7860,0.7999,0.7970,0.8038,0.7950,0.7384,0.7365,0
2019-09-13,0.7883,0.7931,0.7998,0.7973,0.8107,0.8026,0.7669,0.7489,0
2019-09-14,0.7887,0.7954,0.8020,0.7974,0.8101,0.8006,0.7658,0.7503,0
2019-09-15,0.7878,0.7904,0.8022,0.7960,0.8095,0.7986,0.7641,0.7541,0
2019-09-16,0.7901,0.7892,0.8017,0.7975,0.8072,0.7956,0.7531,0.7844,0
2019-09-17,0.7945,0.7918,0.8026,0.8084,0.8050,0.7912,0.7674,0.7907,0
2019-09-18,0.7971,0.7917,0.8066,0.8167,0.8039,0.7907,0.7680,0.7935,0
2019-09-19,0.7962,0.7958,0.8129,0.8169,0.8000,0.7890,0.7723,0.7792,0
2019-09-20,0.7965,0.7954,0.8124,0.8168,0.7972,0.7816,0.7755,0.7911,0
2019-09-21,0.7953,0.7914,0.8143,0.8096,0.7994,0.7839,0.7755,0.7918,0
2019-09-22,0.7942,0.7891,0.8102,0.8056,0.7992,0.7851,0.7745,0.7961,0
2019-09-23,0.7891,0.7877,0.7999,0.7997,0.7902,0.7833,0.7755,0.7909,0
2019-09-24,0.7898,0.7865,0.7991,0.8005,0.7845,0.7871,0.7755,0.7985,0
2019-09-25,0.7900,0.7850,0.8019,0.8009,0.7827,0.7888,0.7766,0.7964,0
2019-09-26,0.7896,0.7890,0.8049,0.8059,0.7704,0.7888,0.7757,0.7928,0
2019-09-27,0.7879,0.7854,0.8063,0.8008,0.7528,0.8040,0.7769,0.7912,0
2019-09-28,0.7853,0.7910,0.8034,0.8023,0.7456,0.7943,0.7760,0.7874,0
2019-09-29,0.7800,0.7874,0.8000,0.7961,0.7425,0.7855,0.7714,0.7822,0
2019-09-30,0.7789,0.7872,0.7990,0.7995,0.7344,0.7836,0.7706,0.7807,0
